Checklist	ERC000024	GSC MIxS water
tax_id	scientific_name	sample_alias	sample_title	sample_description	project name	collection date	geographic location (country and/or sea)	geographic location (latitude)	geographic location (longitude)	broad-scale environmental context	local environmental context	environmental medium	depth	source material identifiers	chlorophyll	chlorophyll method	sea surface temperature	sea surface temperature method	sea subsurface temperature	sea subsurface temperature method	salinity	salinity method	subsurface salinity	subsurface salinity method	ammonium	ammonium method	conductivity	conductivity method	density	density method	downward PAR	downward PAR method	dissolved oxygen	dissolved oxygen method	nitrate	nitrate method	nitrite	nitrite method	organism count	organism count method	ph	ph method	phaeopigments	phaeopigments method	phosphate	phosphate method	pigments	pigments method	pressure	pressure method	silicate	silicate method	sulfide	sulfide method	turbidity	turbidity method	obs_id	geographic location (ocean)	geographic location (region and locality)	geographic location (locality)	total depth of water column	tidal stage information	amount or size of sample collected	sample collection device	sample material processing	sample storage location	sample storage temperature	tidal stage	source_material_identifiers	nucleic acid extraction	nucleic acid amplification	library reads sequenced	target gene	target subfragment	pcr primers	pcr conditions	sequence quality check	sequencing method	dna concentration	run	mock_pr	mock_eu	relevant standard operating procedures	sequence_batch	size-fraction lower threshold	size-fraction upper threshold	sequence_batch_rundate	status
#units	 	 	 	 	 	 	 	DD	DD	 	 	 	m		µg/L		ºC		ºC		psu		psu		µmol/L		mS/cm		g/m3		µE/m2/s		µmol/kg		µmol/L		µmol/L						µg/L		µmol/L		µg/L		atm		µmol/L		µmol/L		FTU								L				ºC												ng/µl						µm	µm		
1874687	marine plankton metagenome	EMOBON00015	EMOBON_ROSKOGO_Wa_210618_3um_1	EMOBON metagenome water sample from station ROSKOGO collected on 2021-06-18 size fraction 3-200um	EMOBON	2021-06-18	France	48.771667	-3.968333	marine biome [ENVO:00000447];marine pelagic biome [ENVO:01000023]	marine pelagic feature [ENVO:01000044];marine water body [ENVO:00001999];costal water body [ENVO:02000049]	seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042]	2	EMOBON_ROSKOGO_Wa_210618_3um_1																																											ROSKOGO	North Atlantic Ocean	English Channel	French part of the English Channel	60	flood_tide	7.5	Hand pump	WaSOP 1		-80	high	EMOBON_ROSKOGO_Wa_210618_3um_1	https://www.protocols.io/view/cryogrinding-protocol-mecanic-lysis-of-planktonic-n92ldyq88l5b/v1; https://www.protocols.io/view/rna-dna-extraction-from-plankton-natural-samples-u-eq2lynz2qvx9/v1; https://www.fishersci.com/shop/products/nucleospin-rna-ii-740955-250/NC0707522; https://www.mn-net.com/lysis-buffer-ra1-740961	metag	112390770	metag	metag	metag	DNA Polymerase:taq Q5;NoPCRs:2;PCRvolume:30;Nocycles:10	manual	Illumina NovaSeq 6000	6.13	220622_JARVIS_HMGW5DSX3	DDC_AAAAOSDA_4_HMGW5DSX3.UDI201	DDC_AAABOSDA_4_HMGW5DSX3.UDI213	Prod_ILL_BqADN_NEBUII_151_v4; Bq NEB Next Ultra II	Batch1	3	200	Batch1_220622	sample
1874687	marine plankton metagenome	EMOBON00016	EMOBON_ROSKOGO_Wa_210618_3um_2	EMOBON metagenome water sample from station ROSKOGO collected on 2021-06-18 size fraction 3-200um	EMOBON	2021-06-18	France	48.771667	-3.968333	marine biome [ENVO:00000447];marine pelagic biome [ENVO:01000023]	marine pelagic feature [ENVO:01000044];marine water body [ENVO:00001999];costal water body [ENVO:02000049]	seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042]	2	EMOBON_ROSKOGO_Wa_210618_3um_2																																											ROSKOGO	North Atlantic Ocean	English Channel	French part of the English Channel	60	flood_tide	7.5	Hand pump	WaSOP 1		-80	high	EMOBON_ROSKOGO_Wa_210618_3um_2	https://www.protocols.io/view/cryogrinding-protocol-mecanic-lysis-of-planktonic-n92ldyq88l5b/v1; https://www.protocols.io/view/rna-dna-extraction-from-plankton-natural-samples-u-eq2lynz2qvx9/v1; https://www.fishersci.com/shop/products/nucleospin-rna-ii-740955-250/NC0707522; https://www.mn-net.com/lysis-buffer-ra1-740961	metag	77129345	metag	metag	metag	DNA Polymerase:taq Q5;NoPCRs:2;PCRvolume:30;Nocycles:10	manual	Illumina NovaSeq 6000	7.36	220622_JARVIS_HMGW5DSX3	DDC_AAAAOSDA_4_HMGW5DSX3.UDI201	DDC_AAABOSDA_4_HMGW5DSX3.UDI213	Prod_ILL_BqADN_NEBUII_151_v4; Bq NEB Next Ultra II	Batch1	3	200	Batch1_220622	sample
1874687	marine plankton metagenome	EMOBON00019	EMOBON_ROSKOGO_Wa_210802_3um_1	EMOBON metagenome water sample from station ROSKOGO collected on 2021-08-02 size fraction 3-200um	EMOBON	2021-08-02	France	48.771667	-3.968333	marine biome [ENVO:00000447];marine pelagic biome [ENVO:01000023]	marine pelagic feature [ENVO:01000044];marine water body [ENVO:00001999];costal water body [ENVO:02000049]	seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042]	2	EMOBON_ROSKOGO_Wa_210802_3um_1																																											ROSKOGO	North Atlantic Ocean	English Channel	French part of the English Channel	60	flood_tide	7.5	Hand pump	WaSOP 1		-80	high	EMOBON_ROSKOGO_Wa_210802_3um_1	https://www.protocols.io/view/cryogrinding-protocol-mecanic-lysis-of-planktonic-n92ldyq88l5b/v1; https://www.protocols.io/view/rna-dna-extraction-from-plankton-natural-samples-u-eq2lynz2qvx9/v1; https://www.fishersci.com/shop/products/nucleospin-rna-ii-740955-250/NC0707522; https://www.mn-net.com/lysis-buffer-ra1-740961	metag	92031641	metag	metag	metag	DNA Polymerase:taq Q5;NoPCRs:2;PCRvolume:30;Nocycles:10	manual	Illumina NovaSeq 6000	7.49	220622_JARVIS_HMGW5DSX3	DDC_AAAAOSDA_4_HMGW5DSX3.UDI201	DDC_AAABOSDA_4_HMGW5DSX3.UDI213	Prod_ILL_BqADN_NEBUII_151_v4; Bq NEB Next Ultra II	Batch1	3	200	Batch1_220622	sample
1874687	marine plankton metagenome	EMOBON00020	EMOBON_ROSKOGO_Wa_210802_3um_2	EMOBON metagenome water sample from station ROSKOGO collected on 2021-08-02 size fraction 3-200um	EMOBON	2021-08-02	France	48.771667	-3.968333	marine biome [ENVO:00000447];marine pelagic biome [ENVO:01000023]	marine pelagic feature [ENVO:01000044];marine water body [ENVO:00001999];costal water body [ENVO:02000049]	seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042]	2	EMOBON_ROSKOGO_Wa_210802_3um_2																																											ROSKOGO	North Atlantic Ocean	English Channel	French part of the English Channel	60	flood_tide	7.5	Hand pump	WaSOP 1		-80	high	EMOBON_ROSKOGO_Wa_210802_3um_2	https://www.protocols.io/view/cryogrinding-protocol-mecanic-lysis-of-planktonic-n92ldyq88l5b/v1; https://www.protocols.io/view/rna-dna-extraction-from-plankton-natural-samples-u-eq2lynz2qvx9/v1; https://www.fishersci.com/shop/products/nucleospin-rna-ii-740955-250/NC0707522; https://www.mn-net.com/lysis-buffer-ra1-740961	metag	81558404	metag	metag	metag	DNA Polymerase:taq Q5;NoPCRs:2;PCRvolume:30;Nocycles:11	manual	Illumina NovaSeq 6000	11.05	220223_JARVIS_HWLTKDRXY	DDC_AAAAOSDA_1_HWLTKDRXY.UDI212	DDC_AAABOSDA_1_HWLTKDRXY.UDI213	Prod_ILL_BqADN_NEBUII_151_v4; Bq NEB Next Ultra II	Batch1	3	200	Batch1_220223	sample
1874687	marine plankton metagenome	EMOBON00021	EMOBON_ROSKOGO_Wa_210802_0.2um_1	EMOBON metagenome water sample from station ROSKOGO collected on 2021-08-02 size fraction 0.2-3um	EMOBON	2021-08-02	France	48.771667	-3.968333	marine biome [ENVO:00000447];marine pelagic biome [ENVO:01000023]	marine pelagic feature [ENVO:01000044];marine water body [ENVO:00001999];costal water body [ENVO:02000049]	seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042]	2	EMOBON_ROSKOGO_Wa_210802_0.2um_1																																											ROSKOGO	North Atlantic Ocean	English Channel	French part of the English Channel	60	flood_tide	7.5	Hand pump	WaSOP 1		-80	high	EMOBON_ROSKOGO_Wa_210802_0.2um_1	https://www.protocols.io/view/cryogrinding-protocol-mecanic-lysis-of-planktonic-n92ldyq88l5b/v1; https://www.protocols.io/view/rna-dna-extraction-from-plankton-natural-samples-u-eq2lynz2qvx9/v1; https://www.fishersci.com/shop/products/nucleospin-rna-ii-740955-250/NC0707522; https://www.mn-net.com/lysis-buffer-ra1-740961	metag	69037615	metag	metag	metag	DNA Polymerase:taq Q5;NoPCRs:2;PCRvolume:30;Nocycles:10	manual	Illumina NovaSeq 6000	17	220622_JARVIS_HMGW5DSX3	DDC_AAAAOSDA_4_HMGW5DSX3.UDI201	DDC_AAABOSDA_4_HMGW5DSX3.UDI213	Prod_ILL_BqADN_NEBUII_151_v4; Bq NEB Next Ultra II	Batch1	0.2	3	Batch1_220622	sample
1874687	marine plankton metagenome	EMOBON00022	EMOBON_ROSKOGO_Wa_210802_0.2um_2	EMOBON metagenome water sample from station ROSKOGO collected on 2021-08-02 size fraction 0.2-3um	EMOBON	2021-08-02	France	48.771667	-3.968333	marine biome [ENVO:00000447];marine pelagic biome [ENVO:01000023]	marine pelagic feature [ENVO:01000044];marine water body [ENVO:00001999];costal water body [ENVO:02000049]	seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042]	2	EMOBON_ROSKOGO_Wa_210802_0.2um_2																																											ROSKOGO	North Atlantic Ocean	English Channel	French part of the English Channel	60	flood_tide	7.5	Hand pump	WaSOP 1		-80	high	EMOBON_ROSKOGO_Wa_210802_0.2um_2	https://www.protocols.io/view/cryogrinding-protocol-mecanic-lysis-of-planktonic-n92ldyq88l5b/v1; https://www.protocols.io/view/rna-dna-extraction-from-plankton-natural-samples-u-eq2lynz2qvx9/v1; https://www.fishersci.com/shop/products/nucleospin-rna-ii-740955-250/NC0707522; https://www.mn-net.com/lysis-buffer-ra1-740961	metag	52880056	metag	metag	metag	DNA Polymerase:taq Q5;NoPCRs:2;PCRvolume:30;Nocycles:10	manual	Illumina NovaSeq 6000	32.5	220712_JARVIS_HMNJKDSX3	DDC_AAAAOSDA_1_HMNJKDSX3.UDI201		Prod_ILL_BqADN_NEBUII_151_v4; Bq NEB Next Ultra II	Batch1	0.2	3	Batch1_220712	sample
1874687	marine plankton metagenome	EMOBON00007	EMOBON_BPNS_Wa_210701_3um_1	EMOBON metagenome water sample from station BPNS collected on 2021-07-01 size fraction 3-200um	EMOBON	2021-07-01	Belgium	51.433331	2.808331	marine biome [ENVO:00000447];marine pelagic biome [ENVO:01000023]	marine pelagic feature [ENVO:01000044];marine water body [ENVO:00001999];costal water body [ENVO:02000049]	seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042]	20.54	EMOBON_BPNS_Wa_210701_3um_1		HPLC	16.848	CTD	16.817	CTD	33.088	CTD	32.979	CTD			42401.000	CTD	1.024030	CTD			7.49	CTD	3.03	SEAL QuAAtro analysis system + Skalar AutoAnalyser system	0.2	SEAL QuAAtro analysis system + Skalar AutoAnalyser system											0.99965457685	CTD	-0.53	SEAL QuAAtro analysis system + Skalar AutoAnalyser system					BPNS	North Atlantic Ocean	North Sea	Belgian part of the North Sea	26	ebb_tide	10	Niskin Bottle	WaSOP1	MSO LifeWatch Lab -80 Freezer	-80	low	EMOBON_BPNS_Wa_210701_3um_1	https://www.protocols.io/view/cryogrinding-protocol-mecanic-lysis-of-planktonic-n92ldyq88l5b/v1; https://www.protocols.io/view/rna-dna-extraction-from-plankton-natural-samples-u-eq2lynz2qvx9/v1; https://www.fishersci.com/shop/products/nucleospin-rna-ii-740955-250/NC0707522; https://www.mn-net.com/lysis-buffer-ra1-740961	metag	74391439	metag	metag	metag	DNA Polymerase:taq Q5;NoPCRs:2;PCRvolume:30;Nocycles:10	manual	Illumina NovaSeq 6000	9.37	220622_JARVIS_HMGW5DSX3	DDC_AAAAOSDA_4_HMGW5DSX3.UDI201	DDC_AAABOSDA_4_HMGW5DSX3.UDI213	Prod_ILL_BqADN_NEBUII_151_v4; Bq NEB Next Ultra II	Batch1	3	200	Batch1_220622	sample
1874687	marine plankton metagenome	EMOBON00008	EMOBON_BPNS_Wa_210701_3um_2	EMOBON metagenome water sample from station BPNS collected on 2021-07-01 size fraction 3-200um	EMOBON	2021-07-01	Belgium	51.433331	2.808331	marine biome [ENVO:00000447];marine pelagic biome [ENVO:01000023]	marine pelagic feature [ENVO:01000044];marine water body [ENVO:00001999];costal water body [ENVO:02000049]	seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042]	20.54	EMOBON_BPNS_Wa_210701_3um_2		HPLC	16.848	CTD	16.817	CTD	33.088	CTD	32.979	CTD			42401.000	CTD	1.024031	CTD			7.49	CTD	3.03	SEAL QuAAtro analysis system + Skalar AutoAnalyser system	0.2	SEAL QuAAtro analysis system + Skalar AutoAnalyser system											0.99965457685	CTD	-0.53	SEAL QuAAtro analysis system + Skalar AutoAnalyser system					BPNS	North Atlantic Ocean	North Sea	Belgian part of the North Sea	26	ebb_tide	10	Niskin Bottle	WaSOP1	MSO LifeWatch Lab -80 Freezer	-80	low	EMOBON_BPNS_Wa_210701_3um_2	https://www.protocols.io/view/cryogrinding-protocol-mecanic-lysis-of-planktonic-n92ldyq88l5b/v1; https://www.protocols.io/view/rna-dna-extraction-from-plankton-natural-samples-u-eq2lynz2qvx9/v1; https://www.fishersci.com/shop/products/nucleospin-rna-ii-740955-250/NC0707522; https://www.mn-net.com/lysis-buffer-ra1-740961	metag	87844664	metag	metag	metag	DNA Polymerase:taq Q5;NoPCRs:2;PCRvolume:30;Nocycles:10	manual	Illumina NovaSeq 6000	2.45	220622_JARVIS_HMGW5DSX3	DDC_AAAAOSDA_4_HMGW5DSX3.UDI201	DDC_AAABOSDA_4_HMGW5DSX3.UDI213	Prod_ILL_BqADN_NEBUII_151_v4; Bq NEB Next Ultra II	Batch1	3	200	Batch1_220622	sample
1874687	marine plankton metagenome	EMOBON00009	EMOBON_BPNS_Wa_210701_0.2um_2	EMOBON metagenome water sample from station BPNS collected on 2021-07-01 size fraction 0.2-3um	EMOBON	2021-07-01	Belgium	51.433331	2.808331	marine biome [ENVO:00000447];marine pelagic biome [ENVO:01000023]	marine pelagic feature [ENVO:01000044];marine water body [ENVO:00001999];costal water body [ENVO:02000049]	seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042]	20.54	EMOBON_BPNS_Wa_210701_0.2um_2		HPLC	16.848	CTD	16.817	CTD	33.088	CTD	32.979	CTD			42401.004	CTD	1.024035	CTD			7.49	CTD	3.03	SEAL QuAAtro analysis system + Skalar AutoAnalyser system	0.2	SEAL QuAAtro analysis system + Skalar AutoAnalyser system											0.99965457685	CTD	-0.53	SEAL QuAAtro analysis system + Skalar AutoAnalyser system					BPNS	North Atlantic Ocean	North Sea	Belgian part of the North Sea	26	ebb_tide	10	Niskin Bottle	WaSOP1	MSO LifeWatch Lab -80 Freezer	-80	low	EMOBON_BPNS_Wa_210701_0.2um_2	https://www.protocols.io/view/cryogrinding-protocol-mecanic-lysis-of-planktonic-n92ldyq88l5b/v1; https://www.protocols.io/view/rna-dna-extraction-from-plankton-natural-samples-u-eq2lynz2qvx9/v1; https://www.fishersci.com/shop/products/nucleospin-rna-ii-740955-250/NC0707522; https://www.mn-net.com/lysis-buffer-ra1-740961	metag	57150226	metag	metag	metag	DNA Polymerase:taq Q5;NoPCRs:2;PCRvolume:30;Nocycles:10	manual	Illumina NovaSeq 6000	17.85	220712_JARVIS_HMNJKDSX3	DDC_AAAAOSDA_1_HMNJKDSX3.UDI201		Prod_ILL_BqADN_NEBUII_151_v4; Bq NEB Next Ultra II	Batch1	0.2	3	Batch1_220712	sample
