old_source_mat_id,ref_code,ref_code_seq,ena_accession_number_sample,ena_accession_number_experiment_metag,ena_accession_number_run_metag,ena_accession_number_project,ena_accession_number_umbrella,biosamples_accession_number,source_mat_id
EMOBON_BPNS_So_210726_micro_1,EMOBON00084,DBH_AAAN,ERS16590019,ERX13356190,ERR13955095,PRJEB51652,PRJEB51688,SAMEA114561126,EMOBON_BPNS_So_5
EMOBON_BPNS_So_210726_micro_2,EMOBON00085,DBH_AAAO,ERS16590020,ERX13356191,ERR13955096,PRJEB51652,PRJEB51688,SAMEA114561127,EMOBON_BPNS_So_6
EMOBON_BPNS_So_210825_micro_3,EMOBON00087,DBH_AAAI,ERS15538559,ERX13356192,ERR13955097,PRJEB51652,PRJEB51688,SAMEA113542142,EMOBON_BPNS_So_13
EMOBON_NRMCB_So_210621_micro_1,EMOBON00094,,ERS20535386,ERX13355955,ERR13954860,PRJEB51658,PRJEB51688,SAMEA115809375,EMOBON_NRMCB_So_1
EMOBON_NRMCB_So_210621_micro_2,EMOBON00095,,ERS20535387,ERX13355956,ERR13954861,PRJEB51658,PRJEB51688,SAMEA115809376,EMOBON_NRMCB_So_2
EMOBON_NRMCB_So_210831_micro_1,EMOBON00097,,ERS20535388,ERX13355957,ERR13954862,PRJEB51658,PRJEB51688,SAMEA115809377,EMOBON_NRMCB_So_6
EMOBON_NRMCB_So_210831_micro_2,EMOBON00098,,ERS20535389,ERX13355958,ERR13954863,PRJEB51658,PRJEB51688,SAMEA115809378,EMOBON_NRMCB_So_7
EMOBON_NRMCB_So_210831_micro_blank,EMOBON00099,,ERS20535390,ERX13355959,ERR13954864,PRJEB51658,PRJEB51688,SAMEA115809379,EMOBON_NRMCB_So_10
EMOBON_OOB_So_210608_micro_1,EMOBON00001,,ERS20535383,ERX13355359,ERR13954264,PRJEB51665,PRJEB51688,SAMEA115809372,EMOBON_OOB_So_1
EMOBON_RFormosa_So_210805_micro_1,EMOBON00092,,ERS20535377,ERX13355737,ERR13954642,PRJEB51661,PRJEB51688,SAMEA115809366,EMOBON_RFormosa_So_1
EMOBON_RFormosa_So_210805_micro_2,EMOBON00093,,ERS20535378,ERX13355738,ERR13954643,PRJEB51661,PRJEB51688,SAMEA115809367,EMOBON_RFormosa_So_2
EMOBON_ROSKOGO_So_210826_micro_1,EMOBON00088,,ERS20535367,ERX13355914,ERR13954819,PRJEB51662,PRJEB51688,SAMEA115809356,EMOBON_ROSKOGO_So_1
EMOBON_ROSKOGO_So_210826_micro_2,EMOBON00089,,ERS20535368,ERX13355915,ERR13954820,PRJEB51662,PRJEB51688,SAMEA115809357,EMOBON_ROSKOGO_So_2
EMOBON_AAOT_Wa_210622_0.2um_1,EMOBON00050,,ERS20568992,ERX13355362,ERR13954267,PRJEB50566,PRJEB51688,SAMEA115828475,EMOBON_AAOT_Wa_6
EMOBON_AAOT_Wa_210622_0.2um_2,EMOBON00051,,ERS20568993,ERX13355363,ERR13954268,PRJEB50566,PRJEB51688,SAMEA115828476,EMOBON_AAOT_Wa_7
EMOBON_AAOT_Wa_210622_3um_1,EMOBON00048,,ERS20568990,ERX13355360,ERR13954265,PRJEB50566,PRJEB51688,SAMEA115828473,EMOBON_AAOT_Wa_1
EMOBON_AAOT_Wa_210622_3um_2,EMOBON00049,,ERS20568991,ERX13355361,ERR13954266,PRJEB50566,PRJEB51688,SAMEA115828474,EMOBON_AAOT_Wa_2
EMOBON_AAOT_Wa_210809_0.2um_1,EMOBON00054,,ERS20568995,ERX13355365,ERR13954270,PRJEB50566,PRJEB51688,SAMEA115828478,EMOBON_AAOT_Wa_26
EMOBON_AAOT_Wa_210809_0.2um_2,EMOBON00055,,ERS20568996,ERX13355366,ERR13954271,PRJEB50566,PRJEB51688,SAMEA115828479,EMOBON_AAOT_Wa_27
