Checklist	ERC000021	GSC MIxS sediment																																																											
tax_id	scientific_name	sample_alias	sample_title	sample_description	project name	collection date	geographic location (country and/or sea)	geographic location (latitude)	geographic location (longitude)	broad-scale environmental context	local environmental context	environmental medium	elevation	depth	source material identifiers	sea surface temperature	sea surface temperature method	ph	ph method	sediment temperature	sediment temperature method	redox potential	redox potential method	chlorophyll	chlorophyll method	dissolved oxygen	dissolved oxygen method	pigments	pigments method	pressure	pressure method	salinity	salinity method	obs_id	geographic location (ocean)	geographic location (region and locality)	geographic location (locality)	total depth of water column	tidal stage information	sample collection device	sample material processing	sample storage location	sample storage temperature	tidal stage	nucleic acid extraction	nucleic acid amplification	library reads sequenced	target gene	target subfragment	pcr primers	pcr conditions	sequencing method	sequence quality check	relevant standard operating procedures	dna concentration	mock_pr	mock_eu	run	sequence_batch	sequence_batch_rundate	status
#units	 	 	 	 	 	 	 	DD	DD	 	 	 	m	m		ºC				ºC		mV		µg/L		µmol/kg		µg/L		atm		psu						m					°C												ng/µl						
412755	marine sediment metagenome	EMOBON00088	EMOBON_ROSKOGO_So_210826_micro_1	EMOBON metagenome sediment sample from station ROSKOGO collected on 2021-08-26 community collected micro	EMOBON	2021-08-26	France	48.708333	-3.866	marine biome [ENVO:00000447];marine benthic biome[ENVO_01000024]	shallow_marine_sediment_[ENVO:03000034]	sediment [ENVO:00002007]	-17	17	EMOBON_ROSKOGO_So_210826_micro_1	17	deduced from temperature measured at Estacade on 1/9/2021																	ROSKOGO	North Atlantic Ocean	English Channel	French part of the English Channel	18	ebb_tide	core	SoSOP2	SBR YD001 freezer 17	-80	low	https://www.qiagen.com/us/products/discovery-and-translational-research/dna-rna-purification/dna-purification/microbial-dna/dneasy-powersoil-pro-kit?catno=47016	metag	49808546	metag	metag	metag	DNA Polymerase:taq Q5;NoPCRs:2;PCRvolume:30;Nocycles:10	Illumina NovaSeq 6000	manual	Prod_ILL_BqADN_NEBUII_151_v4; Bq NEB Next Ultra II	48.3	DDC_AAAAOSDA_1_HMNJKDSX3.UDI201		220712_JARVIS_HMNJKDSX3	Batch1	Batch1_220712	sample
412755	marine sediment metagenome	EMOBON00089	EMOBON_ROSKOGO_So_210826_micro_2	EMOBON metagenome sediment sample from station ROSKOGO collected on 2021-08-26 community collected micro	EMOBON	2021-08-26	France	48.708333	-3.866	marine biome [ENVO:00000447];marine benthic biome[ENVO_01000024]	shallow_marine_sediment_[ENVO:03000034]	sediment [ENVO:00002007]	-17	17	EMOBON_ROSKOGO_So_210826_micro_2	17	deduced from temperature measured at Estacade on 1/9/2021																	ROSKOGO	North Atlantic Ocean	English Channel	French part of the English Channel	18	ebb_tide	core	SoSOP2	SBR YD001 freezer 17	-80	low	https://www.qiagen.com/us/products/discovery-and-translational-research/dna-rna-purification/dna-purification/microbial-dna/dneasy-powersoil-pro-kit?catno=47016	metag	54618972	metag	metag	metag	DNA Polymerase:taq Q5;NoPCRs:2;PCRvolume:30;Nocycles:10	Illumina NovaSeq 6000	manual	Prod_ILL_BqADN_NEBUII_151_v4; Bq NEB Next Ultra II	29.1	DDC_AAAAOSDA_1_HMNJKDSX3.UDI201		220712_JARVIS_HMNJKDSX3	Batch1	Batch1_220712	sample
412755	marine sediment metagenome	EMOBON00192	EMOBON_ROSKOGO_So_211119_micro_1	EMOBON metagenome sediment sample from station ROSKOGO collected on 2021-11-19 community collected micro	EMOBON	2021-11-19	France	48.708333	-3.866	marine biome [ENVO:00000447];marine benthic biome[ENVO_01000024]	shallow_marine_sediment_[ENVO:03000034]	sediment [ENVO:00002007]	-17	17	EMOBON_ROSKOGO_So_211119_micro_1	13	deduced from temperature measured at Estacade on 1/9/2021																	ROSKOGO	North Atlantic Ocean	English Channel	French part of the English Channel	18	ebb_tide	core	SoSOP2	SBR YD001 freezer 17	-80	low	https://www.qiagen.com/us/products/discovery-and-translational-research/dna-rna-purification/dna-purification/microbial-dna/dneasy-powersoil-pro-kit?catno=47016	metag	88414000	metag	metag	metag	DNA Polymerase:taq Q5;NoPCRs:2;PCRvolume:30;Nocycles:12	Illumina NovaSeq 6000	manual	Prod_ILL_BqADN_LowCost_148_v5; Bq low cost	17.6	DDC_AAAAOSDA_1_HCFCYDSX5.UDI137		230126_JARVIS_HCFCYDSX5	Batch2	Batch2_230126	sample
412755	marine sediment metagenome	EMOBON00193	EMOBON_ROSKOGO_So_211119_micro_2	EMOBON metagenome sediment sample from station ROSKOGO collected on 2021-11-19 community collected micro	EMOBON	2021-11-19	France	48.708333	-3.866	marine biome [ENVO:00000447];marine benthic biome[ENVO_01000024]	shallow_marine_sediment_[ENVO:03000034]	sediment [ENVO:00002007]	-17	17	EMOBON_ROSKOGO_So_211119_micro_2	13	deduced from temperature measured at Estacade on 1/9/2021																	ROSKOGO	North Atlantic Ocean	English Channel	French part of the English Channel	18	ebb_tide	core	SoSOP2	SBR YD001 freezer 17	-80	low	https://www.qiagen.com/us/products/discovery-and-translational-research/dna-rna-purification/dna-purification/microbial-dna/dneasy-powersoil-pro-kit?catno=47016	metag	85547374	metag	metag	metag	DNA Polymerase:taq Q5;NoPCRs:2;PCRvolume:30;Nocycles:12	Illumina NovaSeq 6000	manual	Prod_ILL_BqADN_LowCost_148_v5; Bq low cost	11.55	DDC_AAAAOSDA_1_HCFCYDSX5.UDI137		230126_JARVIS_HCFCYDSX5	Batch2	Batch2_230126	sample
412755	marine sediment metagenome	EMOBON00194	EMOBON_ROSKOGO_So_211222_micro_1	EMOBON metagenome sediment sample from station ROSKOGO collected on 2022-12-22 community collected micro	EMOBON	2022-12-22	France	48.708333	-3.866	marine biome [ENVO:00000447];marine benthic biome[ENVO_01000024]	shallow_marine_sediment_[ENVO:03000034]	sediment [ENVO:00002007]	-17	17	EMOBON_ROSKOGO_So_211222_micro_1	12	deduced from temperature measured at Estacade on 1/9/2021																	ROSKOGO	North Atlantic Ocean	English Channel	French part of the English Channel	18		core	SoSOP2	SBR YD001 freezer 17	-80		https://www.qiagen.com/us/products/discovery-and-translational-research/dna-rna-purification/dna-purification/microbial-dna/dneasy-powersoil-pro-kit?catno=47016	metag	98214549	metag	metag	metag	DNA Polymerase:taq Q5;NoPCRs:2;PCRvolume:30;Nocycles:12	Illumina NovaSeq 6000	manual	Prod_ILL_BqADN_LowCost_148_v5; Bq low cost	13.8	DDC_AAAAOSDA_1_HCFCYDSX5.UDI137		230126_JARVIS_HCFCYDSX5	Batch2	Batch2_230126	sample
412755	marine sediment metagenome	EMOBON00195	EMOBON_ROSKOGO_So_211222_micro_2	EMOBON metagenome sediment sample from station ROSKOGO collected on 2022-12-22 community collected micro	EMOBON	2022-12-22	France	48.708333	-3.866	marine biome [ENVO:00000447];marine benthic biome[ENVO_01000024]	shallow_marine_sediment_[ENVO:03000034]	sediment [ENVO:00002007]	-17	17	EMOBON_ROSKOGO_So_211222_micro_2	12	deduced from temperature measured at Estacade on 1/9/2021																	ROSKOGO	North Atlantic Ocean	English Channel	French part of the English Channel	18		core	SoSOP2	SBR YD001 freezer 17	-80		https://www.qiagen.com/us/products/discovery-and-translational-research/dna-rna-purification/dna-purification/microbial-dna/dneasy-powersoil-pro-kit?catno=47016	metag	137280955	metag	metag	metag	DNA Polymerase:taq Q5;NoPCRs:2;PCRvolume:30;Nocycles:12	Illumina NovaSeq 6000	manual	Prod_ILL_BqADN_LowCost_148_v5; Bq low cost	9.48	DDC_AAAAOSDA_1_HCFCYDSX5.UDI137		230126_JARVIS_HCFCYDSX5	Batch2	Batch2_230126	sample
412755	marine sediment metagenome	EMOBON00140	EMOBON_BPNS_So_211028_micro_1	EMOBON metagenome sediment sample from station BPNS collected on 2021-10-28 community collected micro	EMOBON	2021-10-28	Belgium	51.433331	2.808331	marine biome [ENVO:00000447];marine benthic biome[ENVO_01000024]	shallow_marine_sediment_[ENVO:03000034]	sediment [ENVO:00002007]	-18.66	18.66	EMOBON_BPNS_So_211028_micro_1	14.097	CTD	7	Hanna Instruments 991001 ph meter	14.099	CTD					8.14	CTD			1.00014803849	CTD	33.855	CTD	BPNS	North Atlantic Ocean	North Sea	Belgian part of the North Sea	26	ebb_tide	Van Veen Grab	SoSOP3	MSO LifeWatch Lab -80 Freezer	-80	low	https://www.qiagen.com/us/products/discovery-and-translational-research/dna-rna-purification/dna-purification/microbial-dna/dneasy-powersoil-pro-kit?catno=47016	metag	50830902	metag	metag	metag	DNA Polymerase:taq Q5;NoPCRs:2;PCRvolume:30;Nocycles:11	Illumina NovaSeq 6000	manual	Prod_ILL_BqADN_NEBUII_151_v4; Bq NEB Next Ultra II	0.715	DDC_AAAAOSDA_1_HCFCYDSX5.UDI137		230126_JARVIS_HCFCYDSX5	Batch2	Batch2_230126	sample
412755	marine sediment metagenome	EMOBON00141	EMOBON_BPNS_So_211028_micro_2	EMOBON metagenome sediment sample from station BPNS collected on 2021-10-28 community collected micro	EMOBON	2021-10-28	Belgium	51.433331	2.808331	marine biome [ENVO:00000447];marine benthic biome[ENVO_01000024]	shallow_marine_sediment_[ENVO:03000034]	sediment [ENVO:00002007]	-18.66	18.66	EMOBON_BPNS_So_211028_micro_2	14.097	CTD	7	Hanna Instruments 991001 ph meter	14.099	CTD					8.14	CTD			1.00014803849	CTD	33.855	CTD	BPNS	North Atlantic Ocean	North Sea	Belgian part of the North Sea	26	ebb_tide	Van Veen Grab	SoSOP3	MSO LifeWatch Lab -80 Freezer	-80	low	https://www.qiagen.com/us/products/discovery-and-translational-research/dna-rna-purification/dna-purification/microbial-dna/dneasy-powersoil-pro-kit?catno=47016	metag	88875433	metag	metag	metag	DNA Polymerase:taq Kapa;NoPCRs:2;PCRvolume:30;Nocycles:12	Illumina NovaSeq 6000	manual	Prod_ILL_BqADN_LowCost_148_v5; Bq low cost	2.91	DDC_AAAAOSDA_1_HCFCYDSX5.UDI137		230126_JARVIS_HCFCYDSX5	Batch2	Batch2_230126	sample
412755	marine sediment metagenome	EMOBON00142	EMOBON_BPNS_So_211223_micro_1	EMOBON metagenome sediment sample from station BPNS collected on 2021-12-23 community collected micro	EMOBON	2021-12-23	Belgium	51.433331	2.808331	marine biome [ENVO:00000447];marine benthic biome[ENVO_01000024]	shallow_marine_sediment_[ENVO:03000034]	sediment [ENVO:00002007]	-21.2	21.2	EMOBON_BPNS_So_211223_micro_1		CTD broke and sea surface temperature could not be measured	5.96	Hanna Instruments 991001 ph meter		CTD broke and sediment temperature could not be measured						CTD broke and dissolved oxygen could not be measured				CTD broke and pressure could not be measured		CTD broke and sea surface salinity could not be measured	BPNS	North Atlantic Ocean	North Sea	Belgian part of the North Sea	26	ebb_tide	Van Veen Grab	SoSOP3	MSO LifeWatch Lab -80 Freezer	-80	low	https://www.qiagen.com/us/products/discovery-and-translational-research/dna-rna-purification/dna-purification/microbial-dna/dneasy-powersoil-pro-kit?catno=47016	metag	77455396	metag	metag	metag	DNA Polymerase:taq Q5;NoPCRs:2;PCRvolume:30;Nocycles:11	Illumina NovaSeq 6000	manual	Prod_ILL_BqADN_NEBUII_151_v4; Bq NEB Next Ultra II	0.575	DDC_AAAAOSDA_1_HCFCYDSX5.UDI137		230126_JARVIS_HCFCYDSX5	Batch2	Batch2_230126	sample
