old_source_mat_id,ref_code,ref_code_seq,ena_accession_number_sample,ena_accession_number_experiment_metag,ena_accession_number_experiment_metab,ena_accession_number_run_metag,ena_accession_number_run_metab,ena_accession_number_project,ena_accession_number_umbrella,biosamples_accession_number,source_mat_id
EMOBON_MarBIo_S1_220607_220907_MF100,EMOBON00546,DBN_AAAH,ERS29756234,NA,to_be_added,NA,to_be_added,PRJEB37751,PRJEB51688,to_be_added,EMOBON_Roskogo_Ha_28
EMOBON_MarBIo_S1_220607_220907_MF100,EMOBON00546,DBN_AAAH,ERS29756473,NA,to_be_added,NA,to_be_added,PRJEB37751,PRJEB51688,to_be_added,EMOBON_Roskogo_Ha_28
EMOBON_BPNS_Wa_220322_3um_1,EMOBON00269,,to_be_added,to_be_added,NA,to_be_added,NA,to_be_added,PRJEB51688,to_be_added,EMOBON_BPNS_Wa_81
EMOBON_BPNS_Wa_220322_3um_2,EMOBON00270,,to_be_added,to_be_added,NA,to_be_added,NA,to_be_added,PRJEB51688,to_be_added,EMOBON_BPNS_Wa_82
EMOBON_BPNS_Wa_220322_0.2um_1,EMOBON00271,,to_be_added,to_be_added,NA,to_be_added,NA,to_be_added,PRJEB51688,to_be_added,EMOBON_BPNS_Wa_86
EMOBON_BPNS_Wa_220322_0.2um_2,EMOBON00272,,to_be_added,to_be_added,NA,to_be_added,NA,to_be_added,PRJEB51688,to_be_added,EMOBON_BPNS_Wa_87
EMOBON_BPNS_Wa_220420_3um_1,EMOBON00273,,to_be_added,to_be_added,NA,to_be_added,NA,to_be_added,PRJEB51688,to_be_added,EMOBON_BPNS_Wa_101
EMOBON_BPNS_Wa_220420_3um_2,EMOBON00274,,to_be_added,to_be_added,NA,to_be_added,NA,to_be_added,PRJEB51688,to_be_added,EMOBON_BPNS_Wa_102
EMOBON_BPNS_Wa_220420_0.2um_1,EMOBON00275,,to_be_added,to_be_added,NA,to_be_added,NA,to_be_added,PRJEB51688,to_be_added,EMOBON_BPNS_Wa_106
EMOBON_BPNS_Wa_220420_0.2um_2,EMOBON00276,,to_be_added,to_be_added,NA,to_be_added,NA,to_be_added,PRJEB51688,to_be_added,EMOBON_BPNS_Wa_107
EMOBON_BPNS_Wa_220601_3um_1,EMOBON00277,,to_be_added,to_be_added,NA,to_be_added,NA,to_be_added,PRJEB51688,to_be_added,EMOBON_BPNS_Wa_121
EMOBON_BPNS_Wa_220601_3um_2,EMOBON00278,,to_be_added,to_be_added,NA,to_be_added,NA,to_be_added,PRJEB51688,to_be_added,EMOBON_BPNS_Wa_122
EMOBON_BPNS_Wa_220601_0.2um_1,EMOBON00279,,to_be_added,to_be_added,NA,to_be_added,NA,to_be_added,PRJEB51688,to_be_added,EMOBON_BPNS_Wa_126
EMOBON_BPNS_Wa_220601_0.2um_2,EMOBON00280,,to_be_added,to_be_added,NA,to_be_added,NA,to_be_added,PRJEB51688,to_be_added,EMOBON_BPNS_Wa_127
EMOBON_BPNS_Wa_220819_3um_1,EMOBON00281,,to_be_added,to_be_added,NA,to_be_added,NA,to_be_added,PRJEB51688,to_be_added,EMOBON_BPNS_Wa_141
EMOBON_BPNS_Wa_220819_3um_2,EMOBON00282,,to_be_added,to_be_added,NA,to_be_added,NA,to_be_added,PRJEB51688,to_be_added,EMOBON_BPNS_Wa_142
EMOBON_BPNS_Wa_220819_0.2um_1,EMOBON00283,,to_be_added,to_be_added,NA,to_be_added,NA,to_be_added,PRJEB51688,to_be_added,EMOBON_BPNS_Wa_146
EMOBON_BPNS_Wa_220819_0.2um_2,EMOBON00284,,to_be_added,to_be_added,NA,to_be_added,NA,to_be_added,PRJEB51688,to_be_added,EMOBON_BPNS_Wa_147
EMOBON_BPNS_So_220322_micro_1,EMOBON00285,,to_be_added,to_be_added,NA,to_be_added,NA,to_be_added,PRJEB51688,to_be_added,EMOBON_BPNS_So_39
EMOBON_BPNS_So_220322_micro_2,EMOBON00286,,to_be_added,to_be_added,NA,to_be_added,NA,to_be_added,PRJEB51688,to_be_added,EMOBON_BPNS_So_40
EMOBON_BPNS_So_220420_micro_1,EMOBON00287,,to_be_added,to_be_added,NA,to_be_added,NA,to_be_added,PRJEB51688,to_be_added,EMOBON_BPNS_So_45
EMOBON_BPNS_So_220420_micro_2,EMOBON00288,,to_be_added,to_be_added,NA,to_be_added,NA,to_be_added,PRJEB51688,to_be_added,EMOBON_BPNS_So_46
EMOBON_BPNS_So_220601_micro_1,EMOBON00289,,to_be_added,to_be_added,NA,to_be_added,NA,to_be_added,PRJEB51688,to_be_added,EMOBON_BPNS_So_61
EMOBON_BPNS_So_220601_micro_2,EMOBON00290,,to_be_added,to_be_added,NA,to_be_added,NA,to_be_added,PRJEB51688,to_be_added,EMOBON_BPNS_So_62
