ref_code,source_material_id_orig,source_material_id
EMOBON00254,EMOBON_EMT21_So_220420_macro_1mm_1,EMOBON_EMT21_So_11
EMOBON00255,EMOBON_EMT21_So_220420_macro_1mm_2,EMOBON_EMT21_So_12
EMOBON00256,EMOBON_EMT21 _So_ 220420_macro_0.5mm_1,EMOBON_EMT21_So_15
EMOBON00257,EMOBON_EMT21 _So_ 220420_macro_0.5mm_2,EMOBON_EMT21_So_16
EMOBON00258,EMOBON_BPNS_So_220420_meio_1,EMOBON_BPNS_So_56
EMOBON00259,EMOBON_BPNS_So_220420_meio_2,EMOBON_BPNS_So_57
EMOBON00260,EMOBON_BPNS_So_220601_meio_1,EMOBON_BPNS_So_67
EMOBON00261,EMOBON_BPNS_So_220601_meio_2,EMOBON_BPNS_So_68
EMOBON00262,EMO BON CPOWERA HA 20210623 20220622 SF40 (1),EMOBON_BPNS_Ha_1
EMOBON00263,EMO BON CPOWERA HA 20210623 20220622 SF40 (2),EMOBON_BPNS_Ha_2
EMOBON00264,EMO BON CPOWERA HA 20210623 20220622 SF40 (3),EMOBON_BPNS_Ha_3
EMOBON00265,EMO BON CPOWERA HA 20210623 20220622 MF500 (1),EMOBON_BPNS_Ha_4
EMOBON00266,EMO BON CPOWERA HA 20210623 20220622 MF500 (2),EMOBON_BPNS_Ha_5
EMOBON00267,EMO BON CPOWERA HA 20210623 20220622 MF100 (1),EMOBON_BPNS_Ha_6
EMOBON00268,EMO BON CPOWERA HA 20210623 20220622 MF100 (2),EMOBON_BPNS_Ha_7
