ref_code,source_material_id_orig,source_material_id,ref_code_seq
EMOBON00561,NR_1 - 29/12/21_SF_rep1,EMOBON_IUIEilat_Ha_1,DBN_AAAI
EMOBON00562,NR_1 - 29/12/21_SF_rep2,EMOBON_IUIEilat_Ha_2,DBN_AAAJ
EMOBON00563,NR_1 - 29/12/21_MF100_rep1,EMOBON_IUIEilat_Ha_3,DBN_AAAK
EMOBON00564,NR_1 - 29/12/21_MF100_rep2,EMOBON_IUIEilat_Ha_4,DBN_AAAL
EMOBON00565,NR_1 - 29/12/21_MF500_rep1,EMOBON_IUIEilat_Ha_5,DBN_AAAM
EMOBON00566,NR_1 - 29/12/21_MF500_rep2,EMOBON_IUIEilat_Ha_6,DBN_AAAN
EMOBON00567,NR_2 - 03/01/22_SF_rep1,EMOBON_IUIEilat_Ha_7,DBN_AAAO
EMOBON00568,NR_2 - 03/01/22_SF_rep2,EMOBON_IUIEilat_Ha_8,DBN_AAAP
EMOBON00569,NR_2 - 03/01/22_MF100_rep1,EMOBON_IUIEilat_Ha_9,DBN_AAAQ
EMOBON00570,NR_2 - 03/01/22_MF100_rep2,EMOBON_IUIEilat_Ha_10,DBN_AAAR
EMOBON00571,NR_2 - 03/01/22_MF500_rep1,EMOBON_IUIEilat_Ha_11,DBN_AAAS
EMOBON00572,NR_2 - 03/01/22_MF500_rep2,EMOBON_IUIEilat_Ha_12,DBN_AAAT
EMOBON00573,NR_3 - 05/01/22_SF_rep1,EMOBON_IUIEilat_Ha_13,DBN_AAAU
EMOBON00574,NR_3 - 05/01/22_SF_rep2,EMOBON_IUIEilat_Ha_14,DBN_AAAV
EMOBON00575,NR_3 - 05/01/22_MF100_rep1,EMOBON_IUIEilat_Ha_15,DBN_AAAW
EMOBON00576,NR_3 - 05/01/22_MF100_rep2,EMOBON_IUIEilat_Ha_16,DBN_AAAX
EMOBON00577,NR_3 - 05/01/22_MF500_rep1,EMOBON_IUIEilat_Ha_17,DBN_AAAY
EMOBON00578,NR_3 - 05/01/22_MF500_rep2,EMOBON_IUIEilat_Ha_18,DBN_AAAZ
EMOBON00579,Katza_1- 13/03/22_SF_rep1,EMOBON_IUIEilat_Ha_19,DBN_AABA
EMOBON00580,Katza_1- 13/03/22_SF_rep2,EMOBON_IUIEilat_Ha_20,DBN_AABB
EMOBON00581,Katza_1- 13/03/22_MF100_rep1,EMOBON_IUIEilat_Ha_21,DBN_AABC
EMOBON00582,Katza_1- 13/03/22_MF100_rep2,EMOBON_IUIEilat_Ha_22,DBN_AABD
EMOBON00583,Katza_1- 13/03/22_MF500_rep1,EMOBON_IUIEilat_Ha_23,DBN_AABE
EMOBON00584,Katza_1- 13/03/22_MF500_rep2,EMOBON_IUIEilat_Ha_24,DBN_AABF
EMOBON00585,Katza_2- 22/03/22_SF_rep1,EMOBON_IUIEilat_Ha_25,DBN_AABG
EMOBON00586,Katza_2- 22/03/22_SF_rep2,EMOBON_IUIEilat_Ha_26,DBN_AABH
EMOBON00587,Katza_2- 22/03/22_MF100_rep1,EMOBON_IUIEilat_Ha_27,DBN_AABI
EMOBON00588,Katza_2- 22/03/22_MF100_rep2,EMOBON_IUIEilat_Ha_28,DBN_AABJ
EMOBON00589,Katza_2- 22/03/22_MF500_rep1,EMOBON_IUIEilat_Ha_29,DBN_AABK
EMOBON00590,Katza_2- 22/03/22_MF500_rep2,EMOBON_IUIEilat_Ha_30,DBN_AABL
