source_material_id,source_material_id_orig,ref_code_seq,ref_code,nucl_acid_ext,nucl_acid_amp,lib_reads_seqd,lib_layout,target_gene,target_subfragment,ampl_size,pcr_primers,mid,adapters,pcr_cond,seq_quality_check,seq_meth,dna_conc,dna_conc_method,dna_quantity_after_extraction,analysis,run,reads_name,mock_pr,mock_eu,source_mat_id_an,url_seq,sop_seq
EMOBON_ROSKOGO_So_6,EMOBON_ROSKOGO_So_210923_macro_1,DBM_AAAN,EMOBON00545,Quick-DNA Fecal/soil,,3976491,paired,18S rRNA,V1-V2,,,,,,basic Genoscope QC,Illumina NovaSeq 6000,13.55,,569.1,,,DBM_AAANOSTA_1_HGVH5DRX3.UDI364-BID08,,,,,Prod_ILL_BqADN_LowCost_148_v5
EMOBON_ROSKOGO_So_6,EMOBON_ROSKOGO_So_210923_macro_1,DBM_AABF,EMOBON00545,Quick-DNA Fecal/soil,,6694022,paired,COI,,,,,,,basic Genoscope QC,Illumina NovaSeq 6000,13.55,,569.1,,,DBM_AABFOSTA_1_HKYCCDRX3.UDI366-BID08,,,,,Prod_ILL_BqADN_LowCost_148_v5
EMOBON_BPNS_So_51,EMOBON_BPNS_220420_So_macro_1,DBM_AAAO,EMOBON00547,Quick-DNA Fecal/soil,,1161701,paired,18S rRNA,V1-V2,,,,,,basic Genoscope QC,Illumina NovaSeq 6000,19.05,,800.1,,,DBM_AAAOOSTA_1_HGVH5DRX3.UDI364-BID09,,,,,Prod_ILL_BqADN_LowCost_148_v5
EMOBON_BPNS_So_51,EMOBON_BPNS_220420_So_macro_1,DBM_AABG,EMOBON00547,Quick-DNA Fecal/soil,,403591,paired,COI,,,,,,,basic Genoscope QC,Illumina NovaSeq 6000,19.05,,800.1,,,DBM_AABGOSTA_1_HKYCCDRX3.UDI366-BID09,,,,,Prod_ILL_BqADN_LowCost_148_v5
EMOBON_BPNS_So_1,EMOBON_BPNS_210701_So_meio_1,DBM_AAAB,EMOBON00548,Quick-DNA Fecal/soil,,4811144,paired,18S rRNA,V1-V2,,,,,,basic Genoscope QC,Illumina NovaSeq 6000,26.6,,1276.8,,,DBM_AAABOSTA_1_HGVH5DRX3.UDI363-BID04,,,,,Prod_ILL_BqADN_LowCost_148_v5
EMOBON_BPNS_So_1,EMOBON_BPNS_210701_So_meio_1,DBM_AAAT,EMOBON00548,Quick-DNA Fecal/soil,,3387754,paired,COI,,,,,,,basic Genoscope QC,Illumina NovaSeq 6000,26.6,,1276.8,,,DBM_AAATOSTA_1_HKYCCDRX3.UDI365-BID04,,,,,Prod_ILL_BqADN_LowCost_148_v5
EMOBON_BPNS_So_2,EMOBON_BPNS_210701_So_meio_2,DBM_AAAC,EMOBON00549,Quick-DNA Fecal/soil,,4370623,paired,18S rRNA,V1-V2,,,,,,basic Genoscope QC,Illumina NovaSeq 6000,49.4,,2371.2,,,DBM_AAACOSTA_1_HGVH5DRX3.UDI363-BID05,,,,,Prod_ILL_BqADN_LowCost_148_v5
EMOBON_BPNS_So_2,EMOBON_BPNS_210701_So_meio_2,DBM_AAAU,EMOBON00549,Quick-DNA Fecal/soil,,3564464,paired,COI,,,,,,,basic Genoscope QC,Illumina NovaSeq 6000,49.4,,2371.2,,,DBM_AAAUOSTA_1_HKYCCDRX3.UDI365-BID05,,,,,Prod_ILL_BqADN_LowCost_148_v5
EMOBON_BPNS_So_28,EMOBON_BPNS_211028_So_meio_1,DBM_AAAD,EMOBON00550,Quick-DNA Fecal/soil,,4767497,paired,18S rRNA,V1-V2,,,,,,basic Genoscope QC,Illumina NovaSeq 6000,65.8,,3158.4,,,DBM_AAADOSTA_1_HGVH5DRX3.UDI363-BID08,,,,,Prod_ILL_BqADN_LowCost_148_v5
EMOBON_BPNS_So_28,EMOBON_BPNS_211028_So_meio_1,DBM_AAAV,EMOBON00550,Quick-DNA Fecal/soil,,4345618,paired,COI,,,,,,,basic Genoscope QC,Illumina NovaSeq 6000,65.8,,3158.4,,,DBM_AAAVOSTA_1_HKYCCDRX3.UDI365-BID08,,,,,Prod_ILL_BqADN_LowCost_148_v5
